Word,Part of Speech,Simple English Definition,Citizenship Definition,Chinese,Pinyin,Spanish,Example Sentence,Question Number,Audio File,Approved
amendment,n.,a change or addition to a law or document,A formal change added to the U.S. Constitution,修正案,xiū zhèng àn,enmienda,"In civics class, we learned the word 'amendment' for question 5.",5,,No
Constitution,n.,the basic written plan for a government,The highest law that creates and limits the U.S. government,宪法,xiàn fǎ,Constitución,"In civics class, we learned the word 'Constitution' for question 2.",2,,No
branch,n.,one main part of something larger,"One of the three parts of government: legislative, executive, or judicial",部门,bù mén,rama,"In civics class, we learned the word 'branch' for question 13.",13,,No
representative,n.,a person chosen to speak or act for others,A House member elected by people in a district,代表,dài biǎo,representante,"In civics class, we learned the word 'representative' for question 22.",22,,No
senator,n.,an elected member of a senate,A member of the U.S. Senate elected by a state,参议员,cān yì yuán,senador,"In civics class, we learned the word 'senator' for question 18.",18,,No
governor,n.,the elected leader of a state,The chief executive of a U.S. state,州长,zhōu zhǎng,gobernador,"In civics class, we learned the word 'governor' for question 43.",43,,No
citizen,n.,a legal member of a country,A person with rights and responsibilities in the United States,公民,gōng mín,ciudadano,"In civics class, we learned the word 'citizen' for question 57.",57,,No
freedom,n.,"the power to act, speak, or believe without unfair control","A protected right in U.S. democracy, such as speech or religion",自由,zì yóu,libertad,"In civics class, we learned the word 'freedom' for question 6.",6,,No
allegiance,n.,loyalty to a country or leader,Loyalty promised to the United States in the Oath,效忠,xiào zhōng,lealtad,"In civics class, we learned the word 'allegiance' for question 53.",53,,No
territory,n.,land controlled by a country,A U.S.-controlled area that is not a state,领土,lǐng tǔ,territorio,"In civics class, we learned the word 'territory' for question 23.",23,,No
republic,n.,a country where people elect leaders,The U.S. form of government with elected representatives,共和国,gòng hé guó,república,"In civics class, we learned the word 'republic' for question 1.",1,,No
supreme,adj.,highest or most important,Describes the Constitution as the highest law,最高的,zuì gāo de,supremo,"In civics class, we learned the word 'supreme' for question 2.",2,,No
law,n.,an official rule,Rules made by government that everyone must follow,法律,fǎ lǜ,ley,"In civics class, we learned the word 'law' for question 2.",2,,No
government,n.,the system that leads and makes rules for a country,"The institutions that make, enforce, and interpret laws",政府,zhèng fǔ,gobierno,"In civics class, we learned the word 'government' for question 3.",3,,No
self-government,n.,people rule themselves,The idea that U.S. power comes from the people,自治,zì zhì,autogobierno,"In civics class, we learned the word 'self-government' for question 4.",4,,No
Bill of Rights,n.,the first ten amendments,The first ten amendments that protect basic rights,权利法案,quán lì fǎ àn,Carta de Derechos,"In civics class, we learned the word 'Bill of Rights' for question 6.",6,,No
rights,n.,legal or moral freedoms people have,Protections the government must respect,权利,quán lì,derechos,"In civics class, we learned the word 'rights' for question 6.",6,,No
protect,v.,to keep safe,What the Bill of Rights does for people’s freedoms,保护,bǎo hù,proteger,"In civics class, we learned the word 'protect' for question 6.",6,,No
religion,n.,belief and worship about God or gods,A First Amendment freedom people may practice or not practice,宗教,zōng jiào,religión,"In civics class, we learned the word 'religion' for question 12.",12,,No
speech,n.,spoken words; expression,A First Amendment freedom to express ideas,言论,yán lùn,expresión,"In civics class, we learned the word 'speech' for question 6.",6,,No
press,n.,news organizations and publishing,"A First Amendment freedom for newspapers, media, and publishing",新闻出版,xīn wén chū bǎn,prensa,"In civics class, we learned the word 'press' for question 6.",6,,No
assembly,n.,a meeting of people,A First Amendment right to gather peacefully,集会,jí huì,asamblea,"In civics class, we learned the word 'assembly' for question 6.",6,,No
petition,v.,to formally ask government for change,A First Amendment right to ask government to fix problems,请愿,qǐng yuàn,peticionar,"In civics class, we learned the word 'petition' for question 6.",6,,No
Declaration of Independence,n.,the document that announced separation from Britain,The 1776 document saying the colonies were free and independent,独立宣言,dú lì xuān yán,Declaración de Independencia,"In civics class, we learned the word 'Declaration of Independence' for question 8.",8,,No
independence,n.,freedom from another country’s control,The colonies’ separation from Great Britain,独立,dú lì,independencia,"In civics class, we learned the word 'independence' for question 8.",8,,No
liberty,n.,freedom,A natural right named in the Declaration of Independence,自由,zì yóu,libertad,"In civics class, we learned the word 'liberty' for question 9.",9,,No
pursuit,n.,the act of trying to get something,"Part of “pursuit of happiness,” a right named in the Declaration",追求,zhuī qiú,búsqueda,"In civics class, we learned the word 'pursuit' for question 9.",9,,No
happiness,n.,well-being and satisfaction,A right people may seek under the Declaration’s ideals,幸福,xìng fú,felicidad,"In civics class, we learned the word 'happiness' for question 9.",9,,No
